"Name,immune,neuronal,respiratory,cancer,gastrointestinal,infectious"
"Sesame,0,1,0,0,1,0"
"Garlic,0,1,1,1,1,1"
"Celery,0,0,0,1,0,1"
"Fennel,0,0,1,0,1,0"
"Parsley,0,0,0,0,0,1"
"Mustard,0,0,0,1,0,0"
"Radish,0,0,0,0,1,0"
"Capsicum,0,1,0,0,0,0"
"Almond,0,0,0,0,0,1"
"Oats,0,1,0,0,0,0"
"Canola,0,0,0,1,0,0"
"Anise,0,0,1,0,0,0"
"Pomegranate,0,0,0,0,1,1"
"Strawberry,0,0,0,0,1,0"
"Cumin,0,0,0,0,1,0"
"Pineapple,0,0,0,0,1,0"
"Opium poppy,0,1,0,1,1,1"
"Angelica,0,0,0,0,1,0"
"Hot pepper,0,0,0,0,0,1"
"Ivy,0,1,0,1,0,1"
"Bayleaf,0,0,0,1,0,1"
"Sweet marjoram,0,0,0,1,0,1"
"Coconut,0,0,1,0,0,0"
"Beet,0,0,0,1,0,0"
"Star anise,0,0,0,0,1,0"
"Caraway,0,0,0,1,1,1"
"Banana,0,0,1,0,1,1"
"Lemon,0,1,0,0,0,0"
"Saffron,0,1,0,1,0,0"
"Cardamom,0,0,1,0,0,0"
"Onion,0,1,0,0,0,1"
"Sage,0,0,1,0,1,0"
"Nutmeg,1,0,0,0,0,0"
"Avocado,0,0,0,1,0,0"
"Cinnamon,0,0,1,1,1,1"
"Fenugreek,1,0,0,0,0,0"
"Grape,0,1,0,1,0,0"
"Black cumin,0,0,1,1,1,0"
"Grapefruit,0,0,0,0,0,1"
"Jasmine,0,0,0,0,0,1"
"Cloves,0,0,0,0,1,1"
"Ajowan,0,0,1,0,0,1"
"Turmeric,0,0,1,1,1,0"
"Cashew,0,0,0,1,0,0"
"Camphor,0,0,0,1,0,0"
"Broccoli,0,0,0,1,0,0"
"Peanut,0,0,0,0,0,1"
"Carrot,0,0,0,1,0,1"
"Castor,0,1,1,1,0,1"
"Black pepper,0,1,0,0,1,1"
"Thyme,1,1,0,1,0,1"
"Ginger,1,0,1,1,1,0"
"Flax,1,0,1,0,1,1"
"Asafetida,0,1,1,1,1,1"
"Papaya,0,0,0,1,0,1"
"Cranberry,0,0,0,1,0,0"
"Coffee,0,0,0,0,1,0"
"Mango,0,0,0,0,1,0"
"Asparagus,0,0,0,1,1,0"
"Chickpea,0,1,0,0,1,0"
"Orange,0,0,0,0,0,1"
